epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,198.712,1.1755,1.69828,1.04814,0.93316,0.75958,0.88086,0.68461,0.88681,0.99432,0.89789,0.0004732,0.0004732,0.0004732
2,402.125,0.97295,0.7852,0.94428,0.93562,0.9108,0.96349,0.75798,0.84218,0.54001,0.88993,0.000918198,0.000918198,0.000918198
3,595.505,0.96149,0.67353,0.94233,0.94123,0.88954,0.96206,0.74453,0.87454,0.54555,0.90542,0.00133176,0.00133176,0.00133176
4,786.837,0.94402,0.62214,0.93715,0.96161,0.91352,0.97867,0.77672,0.81291,0.4913,0.89196,0.00128753,0.00128753,0.00128753
5,978.59,0.91131,0.57488,0.92793,0.9237,0.93541,0.97106,0.77364,0.81347,0.476,0.88899,0.00124037,0.00124037,0.00124037
6,1169.98,0.89042,0.546,0.91968,0.96524,0.91644,0.97844,0.80796,0.76615,0.42542,0.87211,0.00119322,0.00119322,0.00119322
7,1362.41,0.87426,0.5296,0.91647,0.96892,0.93519,0.98192,0.81027,0.75229,0.4107,0.87027,0.00114606,0.00114606,0.00114606
8,1554.07,0.86044,0.51069,0.91147,0.97989,0.95771,0.99117,0.82851,0.73557,0.38207,0.86569,0.0010989,0.0010989,0.0010989
9,1740.31,0.84104,0.49235,0.90648,0.96632,0.94744,0.9859,0.81204,0.72882,0.38406,0.86291,0.00105174,0.00105174,0.00105174
10,1924.51,0.83296,0.48277,0.90584,0.97425,0.96429,0.98996,0.82162,0.72914,0.36831,0.86346,0.00100459,0.00100459,0.00100459
11,2109.36,0.8287,0.47293,0.90395,0.9818,0.95141,0.99109,0.83023,0.72514,0.37365,0.86147,0.00095743,0.00095743,0.00095743
12,2293.16,0.81818,0.46433,0.90057,0.95943,0.96885,0.99069,0.83023,0.70558,0.36253,0.85664,0.000910273,0.000910273,0.000910273
13,2476.27,0.81029,0.45166,0.89718,0.97613,0.96284,0.9897,0.83007,0.71525,0.3525,0.85867,0.000863116,0.000863116,0.000863116
14,2659.32,0.80239,0.44552,0.89656,0.97761,0.9677,0.99266,0.83069,0.70468,0.34929,0.85791,0.000815959,0.000815959,0.000815959
15,2843.91,0.80025,0.4401,0.89437,0.99068,0.96621,0.99334,0.84445,0.68393,0.3314,0.85059,0.000768802,0.000768802,0.000768802
16,3027.4,0.79184,0.43638,0.89236,0.98854,0.9683,0.99152,0.8421,0.69201,0.32833,0.85095,0.000721645,0.000721645,0.000721645
17,3211.54,0.7862,0.42687,0.89083,0.98527,0.97698,0.99177,0.85004,0.67788,0.3237,0.84849,0.000674488,0.000674488,0.000674488
18,3395.61,0.78064,0.42412,0.88948,0.96676,0.98405,0.99293,0.84436,0.68039,0.31948,0.84813,0.000627331,0.000627331,0.000627331
19,3580.37,0.77152,0.41623,0.88613,0.99626,0.97261,0.99428,0.84953,0.67703,0.31337,0.84898,0.000580174,0.000580174,0.000580174
20,3764.48,0.76986,0.4096,0.88686,0.98516,0.98368,0.99411,0.85108,0.67622,0.31095,0.84691,0.000533017,0.000533017,0.000533017
21,3952.6,0.6955,0.3365,0.85197,0.97948,0.97162,0.99156,0.84837,0.66954,0.3166,0.84622,0.00048586,0.00048586,0.00048586
22,4130.43,0.69105,0.32893,0.851,0.99359,0.97662,0.99355,0.85759,0.66231,0.30418,0.84447,0.000438703,0.000438703,0.000438703
23,4308.2,0.681,0.31922,0.84971,0.98471,0.9856,0.99425,0.85885,0.66023,0.29985,0.84433,0.000391546,0.000391546,0.000391546
24,4487.75,0.67442,0.31426,0.84716,0.99229,0.98047,0.99425,0.86132,0.65505,0.29653,0.84298,0.000344389,0.000344389,0.000344389
25,4665.59,0.66815,0.30933,0.84592,0.97825,0.98803,0.99405,0.86395,0.65353,0.2924,0.84121,0.000297232,0.000297232,0.000297232
26,4841.64,0.6608,0.30204,0.84269,0.98245,0.98811,0.99262,0.86261,0.64879,0.28714,0.83978,0.000250075,0.000250075,0.000250075
27,5017.72,0.65592,0.29721,0.84132,0.98295,0.98495,0.99384,0.86801,0.64278,0.28245,0.83909,0.000202918,0.000202918,0.000202918
28,5193.73,0.64874,0.29078,0.83918,0.98701,0.98888,0.99445,0.87043,0.64209,0.2779,0.83872,0.000155761,0.000155761,0.000155761
29,5368.43,0.64394,0.28475,0.83957,0.99069,0.98269,0.9943,0.86546,0.63799,0.27442,0.83856,0.000108604,0.000108604,0.000108604
30,5543.83,0.63825,0.28143,0.83635,0.98764,0.98545,0.99424,0.86974,0.63596,0.2713,0.83687,6.1447e-05,6.1447e-05,6.1447e-05
