epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,424.037,1.12687,1.47846,1.04289,0.90233,0.87168,0.93827,0.73006,0.85696,0.67746,0.90828,0.00333147,0.00333147,0.00333147
2,808.643,1.03421,0.85333,0.97242,0.90191,0.89426,0.94624,0.73786,0.87632,0.60484,0.91994,0.00644487,0.00644487,0.00644487
3,1180.77,1.05881,0.78757,0.98074,0.89417,0.87735,0.9426,0.73454,0.88846,0.59621,0.92874,0.00933826,0.00933826,0.00933826
4,1547.98,1.04458,0.73937,0.97979,0.94729,0.92478,0.96648,0.7765,0.8185,0.49424,0.90233,0.00901,0.00901,0.00901
5,1920.9,0.98961,0.65791,0.95879,0.95949,0.92361,0.9708,0.77589,0.8032,0.47061,0.89441,0.00868,0.00868,0.00868
6,2293.35,0.95063,0.60757,0.94566,0.9661,0.94397,0.98117,0.80448,0.76796,0.41434,0.88374,0.00835,0.00835,0.00835
7,2665.79,0.92713,0.57886,0.93808,0.97809,0.95587,0.98668,0.81744,0.73275,0.39313,0.87098,0.00802,0.00802,0.00802
8,3037.08,0.9058,0.55731,0.93028,0.97723,0.94923,0.98741,0.82809,0.719,0.3723,0.86632,0.00769,0.00769,0.00769
9,3410.41,0.89008,0.53749,0.92478,0.98868,0.95799,0.98859,0.82885,0.70856,0.35791,0.86289,0.00736,0.00736,0.00736
10,3782.16,0.87729,0.5242,0.91984,0.99041,0.96686,0.98908,0.83745,0.69966,0.3484,0.86038,0.00703,0.00703,0.00703
11,4159.14,0.86665,0.51182,0.91742,0.98432,0.97319,0.99062,0.8405,0.68947,0.33696,0.85509,0.0067,0.0067,0.0067
12,4533.6,0.85588,0.5006,0.91332,0.98342,0.96588,0.9885,0.83438,0.68554,0.33736,0.85562,0.00637,0.00637,0.00637
13,4909.23,0.85173,0.49245,0.91349,0.98487,0.96155,0.98931,0.84712,0.68041,0.32635,0.85167,0.00604,0.00604,0.00604
14,5285.3,0.83744,0.48127,0.90816,0.9844,0.96966,0.99012,0.85346,0.6715,0.31876,0.84875,0.00571,0.00571,0.00571
15,5656.03,0.83133,0.47394,0.90752,0.98769,0.96912,0.99117,0.85032,0.6659,0.31355,0.84809,0.00538,0.00538,0.00538
16,6031.93,0.8226,0.46539,0.90333,0.98514,0.97906,0.99207,0.85623,0.65895,0.30515,0.84606,0.00505,0.00505,0.00505
17,6406.12,0.81572,0.45785,0.90062,0.98405,0.97794,0.99201,0.85216,0.65758,0.30069,0.84479,0.00472,0.00472,0.00472
18,6779.19,0.80743,0.44952,0.89778,0.98869,0.97677,0.99294,0.8577,0.65318,0.29585,0.84419,0.00439,0.00439,0.00439
19,7153.63,0.80301,0.4419,0.89607,0.98933,0.97526,0.99106,0.8593,0.64945,0.29307,0.8417,0.00406,0.00406,0.00406
20,7525.93,0.79353,0.43379,0.89548,0.98909,0.97333,0.99118,0.85888,0.64723,0.29031,0.84185,0.00373,0.00373,0.00373
21,7865.49,0.72063,0.3602,0.86234,0.98716,0.97944,0.99124,0.85971,0.64303,0.29195,0.84073,0.0034,0.0034,0.0034
22,8203.97,0.71063,0.35112,0.85817,0.9927,0.97483,0.99088,0.8634,0.64003,0.28958,0.84074,0.00307,0.00307,0.00307
23,8541.37,0.70514,0.34439,0.85606,0.98898,0.97742,0.9906,0.86211,0.63789,0.28522,0.83984,0.00274,0.00274,0.00274
24,8877.9,0.69484,0.33543,0.85462,0.98419,0.98114,0.99091,0.86427,0.63504,0.28178,0.83918,0.00241,0.00241,0.00241
25,9215.74,0.68803,0.32792,0.85201,0.98723,0.97662,0.99013,0.86365,0.63304,0.28034,0.83842,0.00208,0.00208,0.00208
26,9552.36,0.67901,0.31918,0.84852,0.98513,0.97707,0.99122,0.86398,0.63199,0.27701,0.8381,0.00175,0.00175,0.00175
27,9895.21,0.67056,0.31362,0.84614,0.99052,0.97686,0.99202,0.86605,0.63115,0.27588,0.8376,0.00142,0.00142,0.00142
28,10228.3,0.66589,0.30646,0.84474,0.9893,0.97665,0.99228,0.86806,0.62961,0.27471,0.83693,0.00109,0.00109,0.00109
29,10560.5,0.65615,0.29746,0.84207,0.98969,0.97699,0.99225,0.8707,0.62852,0.27288,0.83636,0.00076,0.00076,0.00076
30,10894.1,0.64906,0.28935,0.84139,0.98925,0.9777,0.99241,0.8728,0.62757,0.27172,0.836,0.00043,0.00043,0.00043
